"state","prec1992","prec1993","prec1994","prec1995","prec1996","prec1997","prec1998","prec1999","prec2000","prec2001","prec2002","prec2003","prec2004","prec2005","prec2006","prec2007","prec2008","prec2009","prec2010","prec2011"
"AK",33.0781638614675,32.0254233449909,31.1481411005833,29.9227442061456,24.0006252757994,31.1687619010738,31.2040336487782,34.7345556854073,32.2075586648662,34.6231943716259,36.1694726861274,31.9285741289479,30.6257270953598,33.780679701659,31.9454675671779,29.1560104016148,32.0223932745209,28.6577497281383,29.8121229842553,33.3259627184804
"AL",41.4532805057977,36.0154580690577,42.9611957244642,42.797900651306,41.1180294135538,44.5358639729348,41.9173458703638,34.8641517813833,29.6580231039657,42.218100843591,40.8355298742007,45.1554027442803,41.675325876373,40.7219682203805,34.0650198217643,26.1142109015626,37.5811884144001,51.3261475314445,33.0424870942905,39.4805253957785
"AR",34.2038907671091,37.1329705011695,39.010531415579,30.2028034337351,35.6606654997264,35.6718139141816,33.902177122276,30.1428813422766,31.71194795669,38.0535873110075,36.4269958199155,30.6413979396116,38.8753259239732,24.8245940049636,34.3344297921083,32.6646238295324,42.4014350492793,49.6977514743271,27.3186948899033,44.3647701291222
"AZ",15.4528615731111,14.5746754832462,10.9478278395902,9.74285586625985,7.8062983213355,10.7512022802777,11.4037709129339,8.72525382692799,10.1558588692939,9.16926123235549,6.04453287005838,8.93489217424247,10.7297615022747,10.6363249859387,8.20791850919338,9.58700454202122,11.3538704208828,6.32549037717098,12.283246748942,8.61022969312761
"CA",18.0969404804599,21.5212786653345,14.2303719281496,28.0553065168475,27.2299957291515,16.4602236418781,28.7087849485521,14.5384361841009,18.2406675870228,18.505132268289,15.9894180162734,16.8073069391507,17.0820576973423,23.8170273470439,19.0011059251207,11.0925294060862,14.2769637520089,14.3644467166456,24.7547442439607,26.3519580250332
"CO",15.0054218940237,16.9451609520043,14.0380137308181,18.8589249825895,17.3704219199997,18.4175740356697,15.5139095258181,16.3672517190491,14.6640711439339,13.7658478969349,10.4199470223673,14.6625983551458,15.6714331347348,16.1969454629011,15.7856702925966,15.7624596420604,15.5749413656265,15.2327684788513,15.7127318681848,16.9340753823233
"CT",33.6561242497105,32.1680871692474,35.8292158824419,30.6116880837867,42.6729567778476,29.949217619351,32.6080553901132,34.8074315728806,34.0006274900054,27.7504918184893,31.9428582095759,39.3513094997441,33.4157358772674,39.7868754111867,40.0785895833688,31.9426132718559,43.8453598706855,35.9751052378589,35.6678322184651,47.5387884347209
"DE",27.2887067395264,33.283105022831,34.9095890410959,28.6342566109689,42.379781420765,26.4696504270601,27.4118721461187,34.6712328767123,34.2523267709659,25.4538812785388,32.1050228310502,42.5214611872146,38.1491449854552,31.549607634047,34.0091324200913,30.2231706856862,29.4659260262837,40.7065649042867,30.6837424144085,36.3586726192747
"FL",39.6194246486261,35.3584165582266,45.7636537747617,41.9846318657056,37.304738160653,42.5392557816802,39.6912962737703,35.7055953634708,28.7048155320974,38.4048460841291,41.5231360763315,41.5562409883582,38.9831641826841,42.0363234848533,29.5331429812104,31.7027035527222,37.0533761410314,36.6419939933273,33.5692941944529,35.3868367739873
"GA",42.6071734839693,32.7665231084457,44.4840366940708,35.9001724752066,35.8162908918738,40.3661783800563,36.7192168511668,29.1690275166448,29.222961991375,30.0927945201921,36.0319038265405,40.1881559349964,36.2497557750132,38.4509013263293,28.0364963101511,25.6295288755501,31.8479846442774,43.7741569912394,30.0833709263367,34.605644137934
"HI",32.1147818365936,25.7603962979677,39.1489741510722,25.2863859951052,37.8074011306811,36.8420041898045,22.8827963022624,27.5822853426412,25.090090420836,27.0537770681819,29.3939561471476,26.8118312476178,43.9340503115471,31.8363000097013,39.931792558472,31.887219634343,27.7758129434768,27.0458329572457,25.4140968058467,36.2282562819774
"IA",25.4305294695588,34.1760501519746,21.1089749653582,23.0445209810358,23.4847056963217,21.1675910900243,27.7490819586838,22.6279211675769,21.1266923834546,24.2971214671454,20.8216590176096,20.5375500076897,24.7815215673725,21.3077776949906,22.6850567670818,29.9026999633374,30.6776412871305,27.8763298193418,31.0368885365409,32.7183092900285
"ID",14.6635645389932,18.303349120701,15.8157033011293,23.8969401296516,25.4146568734859,19.4704225457503,22.1167618068964,18.0762862473107,16.2977859166877,15.0962961108952,15.2870604536064,17.4656749219305,17.8092461194743,18.6203531653315,20.644830248397,15.083476377513,17.3163147088987,17.2938020196377,20.0742003908683,19.3372513340453
"IL",26.0468566003141,36.011951629585,25.1288329131071,27.578071519068,28.2541598228204,25.7484225747855,31.0485839100353,24.7645297235322,27.703768359741,27.8878952519252,27.6159237139784,26.564806487866,28.4390638765733,21.73571380176,28.7414799470701,26.1250065349993,34.8588438230987,35.440790830428,28.1466091972365,42.0572808007088
"IN",29.4989653285843,35.3834289221265,26.4733898792215,27.7970109381003,34.6804891471637,28.8377215674728,31.2955878162676,24.2646193388233,30.0427750031215,30.8395949623053,29.5324623976255,32.6061979925021,29.7283340969628,29.1110533797492,36.1839681964556,29.4301022063795,35.2078180279323,32.1819015641636,26.1756159795135,41.2748211021487
"KS",25.1606908359066,29.6707919142386,19.1459746758041,22.2268095493534,22.7641247036272,22.0854384600681,23.9713302270384,22.1697602179441,18.0157044715562,20.6345468383813,16.3836874609658,18.4955989277209,22.1278038974948,22.0948426437964,18.2632695930266,24.698672248264,24.8432513473221,23.7252196538607,20.3481008549127,24.0725493805488
"KY",29.4644169276636,32.2168561546308,33.5183099893095,33.3491935929666,39.1401947786875,34.5215567963863,33.8134293799069,26.4815623081868,31.4092378689751,32.063114280188,37.3748677669404,39.0942271675646,38.3645188715054,27.5303760558105,36.4690611961895,30.2859257129381,32.1240916423702,37.4618728510794,29.4212214165868,62.0218146373726
"LA",47.0776072674325,42.118360979084,41.1729601672177,45.2146564218178,37.7732691781588,45.3831269756454,42.9355521304299,33.3944876312117,33.1356243158413,47.6833840126529,44.8856041328682,36.2859463400466,50.9866157505823,31.8059870316462,38.0403720090916,36.6206895017705,38.4632935458071,44.4846789375961,29.4150476527646,41.588223627674
"MA",31.8462999754927,31.1958166196999,34.3734047232351,28.5094326983159,42.2899377256719,27.9630308259826,37.7248632460373,31.7858797824118,34.6203854871975,28.8963789869696,34.0975560475336,38.1891732044968,33.7300264497844,44.0325715747095,41.4207521534403,32.1684496156022,41.7470332008877,37.1824757439742,37.2766421575081,42.524420599437
"MD",28.7276755425026,31.8428776714862,33.0413107797694,27.5782533645212,41.3798207662734,27.7362671209936,29.3570433715838,31.4889307618238,29.9387925766442,26.6890064601185,31.0809648157285,43.9313709421619,34.1892027228125,31.9517820920079,30.9923447763923,26.0678817714334,33.8947449859952,37.186834625668,28.5611177643359,35.2611927074342
"ME",25.1891174235987,30.1009218849539,29.6137888733408,29.5996330550108,36.255023624118,26.8699028377771,31.7103934616892,31.5263177239287,31.9703179024741,20.6808338669678,28.7974930957319,31.2996655891486,26.1051598983969,42.9727313388094,35.3950956033709,32.6102697862586,38.7116366917223,35.3138789897268,35.4480492579951,34.3108261710522
"MI",24.0472733500448,24.0619808920018,24.2479321622234,24.7242003765977,25.3691647244807,23.1523953263387,21.394232527398,22.0833870983724,23.8072301369095,25.4841402644046,21.8523433522268,22.6800891561753,25.2887668991364,21.537742596343,26.0999558046624,21.6265452681067,26.6888810036475,23.7392965216789,21.7061785884691,29.4662360199944
"MN",18.5253781858468,24.1495136674084,20.9653518407736,21.8087400623686,20.7658356033561,19.3988244939154,21.2161628753308,21.3996894912723,21.3222107460273,22.3947766034088,22.5739359999237,16.6950771693949,22.7879752452813,22.9441085459166,17.2413289040197,23.4440078871575,18.9293521000172,18.8382441866811,24.8012074248994,21.9633306450933
"MO",29.3026793920398,39.9593480914034,30.0894766070464,29.8984860666665,31.003291950171,28.7128661421684,35.0905022778313,26.1062399346002,25.5139151216641,30.6397803386688,28.6266675068193,28.3789956956679,31.4615027312546,25.8576026011343,26.5382663518446,27.9532865685642,39.0107978282787,36.3602568422849,31.4916933818791,45.8328486206465
"MS",39.6364463966657,40.1145781851822,44.1651559492954,43.0905047244242,40.3082601743059,48.4091593179517,39.5380373120839,34.4359635764862,30.9513611100498,47.0716328960952,47.5148610132801,41.8897557464169,45.9420636196755,35.3242968972513,36.7975800923227,28.7621756064879,40.7675399179455,46.3345886206845,30.214089980945,37.9686528042526
"MT",13.5660597013053,17.1675418155084,13.046782260318,17.6961774011901,16.5810364783397,15.7086024538892,15.7173771392448,13.8458811988305,12.2219958831508,11.723346094268,13.6508626631678,13.7644783193511,13.6271390510633,15.4803282810381,14.6449193086139,13.840398511535,15.2291281740823,13.7883132103928,16.7516511375237,26.0199333610443
"NC",38.1084276579113,32.8024815261451,36.8471008012331,38.9964423817129,39.949596176432,33.2063575503468,37.3954352800425,35.847700165197,30.7026021197477,27.4638642484829,34.577997062962,45.6948242865437,37.1716267048969,34.9633600967031,36.0899210023472,24.983267972699,32.1432343570781,38.5660686982108,32.5981072049269,41.7666925645077
"ND",10.1655467665964,16.124995419969,14.728330199869,14.0153841445408,13.3714135630779,11.6306732118457,15.0087253705354,14.4905185031221,15.1844906502675,12.2360147293629,11.4394781985028,12.3421920711535,14.0184094475157,15.3238053186046,10.1012174463907,13.7198220551707,14.1196102752335,13.4624730617605,17.1441878263915,45.8113788353261
"NE",19.2900243471933,24.6567343902917,16.4806376588656,17.8826656313944,18.9341980510874,16.0512164691548,18.3143544511199,16.9570512399986,14.7084223415629,18.3413591737482,11.8287041377827,14.7940432073522,17.0333382107439,17.0998185061463,16.5579952487446,21.9576052104447,20.7278374645223,17.6972899898104,19.5214357201022,21.8917448453686
"NH",26.4104926129996,28.7589113422032,29.3606634227203,29.8157611452812,38.506903761324,29.6520786282416,32.6057676881092,32.1272622608988,33.6293863169399,23.7552781033855,31.0542762068313,34.491371324197,30.1752646762281,42.5210963327085,39.4260590972525,33.100194614388,41.7357728005714,34.6855110070531,34.5764803038835,40.0618571276659
"NJ",30.5689628186397,31.8885858966581,33.4806333225721,28.2162197806541,42.2375977188736,32.3452577484974,29.552215060429,32.820821666869,31.8992806080194,24.7965164091886,32.5765035184101,41.1825402340269,34.989658986488,38.8392353538352,36.6026087085841,34.5314049278783,34.0838392507484,36.5154214437584,31.4440066039915,45.1557476391994
"NM",11.6911305630185,11.0625313878088,11.6853674662066,9.39138227419144,10.6766645901666,13.7689062496549,10.6805997494652,11.0779917851771,10.135019592703,8.93996664757863,8.85460499320974,7.09756850089239,12.4939919243692,10.758680436055,11.8021374593394,11.1726059717313,10.4378841976334,9.23007128165018,11.1231115633173,13.4058767658049
"NV",8.63590746328592,9.84564308933037,9.03679432642425,12.6329440460201,12.5125087054251,9.37834220094715,14.4368083374667,8.04863304758342,9.16266927928813,8.22715659145634,6.94838396826752,9.03685624556839,10.1663841159083,12.8807990672441,9.86940844965744,7.22855719674098,8.14103636640635,9.11500587934128,13.1521590964319,10.1337493697261
"NY",29.8064269187803,28.3247891033971,29.2087218616822,25.6580944484948,35.3988052081981,27.2549304612784,28.3643800071619,26.8234671913457,30.8415728434804,23.4944689615722,30.4249987978657,33.8433396561501,32.2592624503225,33.857879951219,33.7359208266402,30.5104175962633,32.8148822329348,29.1985845912684,29.9968507400459,48.4731575518953
"OH",28.2035166310958,27.2092671811908,24.7836487891166,28.1492578197044,33.4261468748567,27.7896420621674,28.2994451554771,23.2400912734075,28.3018180043701,26.4989632172886,27.5738938473583,32.832755007423,31.4842147004996,29.0702242161196,31.0342815476059,29.7633599972715,31.5670558431662,25.5681646397741,25.3411680776156,45.1607158665711
"OK",28.6794552923786,27.5770310259809,26.0680559457823,28.3188666543488,26.1187994190178,30.4245715045326,24.6930362771276,25.4776643207112,25.4019122808967,21.5457271033289,24.7457756173468,19.2711794492405,28.3204975396366,19.8384627026601,20.2094029580171,32.0941785867034,25.7053417043304,25.461184523412,21.9115201662082,28.6886820112814
"OR",24.3729029102824,26.3338222608496,26.2729885253559,36.7831776577676,44.4929890576647,29.7503992553156,36.7711802206701,30.7473813929421,25.1694085479321,24.5438451977439,24.4908843311652,28.5025920166556,26.176043105297,28.1957455896447,32.8772877360175,26.5186709268263,26.841229216297,25.1499587255543,33.2392067617401,29.646730826895
"PA",28.3174598566978,31.6439304320206,32.6575513983661,25.8122138088172,38.3212738870991,26.642567868986,27.2804020800029,28.8034888730276,28.6965651931417,23.9947014431312,30.295219157668,37.0328641837781,37.4627063983221,29.8958452693862,32.4117455212784,30.9557988113042,31.2775323401202,29.6860176621991,29.6846323223397,43.0288929770167
"RI",35.7780054644809,32.1143137476886,33.7556225720711,29.0582191780822,41.2616120218579,29.9452054794521,41.5732876712329,33.1664383561644,35.5437158469946,31.0952054794521,34.008904109589,38.5397260273973,33.309218871975,42.1047945205479,40.7267123287671,32.2112004226574,40.9651639344263,38.6698893572181,41.2465753424657,42.8267462923129
"SC",40.2875958646078,31.6903233200552,42.4134931851131,40.4578626447599,33.5082331163413,38.7228277119883,37.4417238893819,29.5435115251178,28.3779283780294,25.2143306701763,33.8190561465942,40.4787708526161,35.5446510335879,34.3873824119037,31.2089623234446,23.5707123309176,31.2225185616515,35.9745295188203,28.5042201860619,38.0378159312276
"SD",14.4072546065544,18.9035794954434,14.5736780517245,19.4764386005873,17.5455483058664,15.8227313754221,17.9434731323714,15.5874673489801,14.2321041488613,15.0367469375949,10.9239376490957,12.6325877433753,15.0824424749179,15.0875527502559,11.6007526844753,16.3808298622343,16.5543293255493,15.9866710626554,17.7996709338976,19.1219505234725
"TN",35.1204019304073,34.0888113170997,44.5914152663468,36.674746488536,41.7534147213908,40.0235014844634,40.6843509508447,32.5636084889586,32.0067530852776,36.9772681957352,41.2587055168467,43.9669155110678,42.5586448281536,31.3759984024499,34.7747423398446,26.7395979744849,34.3008674058962,42.8449763131894,35.5225146202388,48.8247468922442
"TX",26.7322746330613,22.4151487520569,24.2397318774237,22.2190120437087,19.2698068124684,28.1335616172052,23.1088230699236,17.0620307263891,22.9157976379945,25.0697737208767,25.7527597293034,19.1846614761298,30.6193351862541,16.6803724908642,19.797803572484,28.8574915905608,18.3865518132273,23.2285330389364,21.4533547797088,13.6516799852182
"UT",12.784113568141,16.3579271374982,14.1183604636366,16.9791365615878,16.5328265541254,16.6007007117091,17.8327932852015,13.306177302242,14.1864018865198,12.3699645801098,10.4040277826738,12.758764790652,15.6049004771278,17.1561015465904,15.2342665714531,11.8020434940511,13.3527145945314,13.6315166019757,18.388555188573,17.8106818271657
"VA",30.5833328152076,31.1331433822103,31.5128103178138,31.4195051886235,40.1568229636025,26.5231735783455,31.6194120597843,29.3553814115527,27.718984777779,24.3889319688405,30.0181036491319,43.4712139011471,34.2272734462715,27.9815480997185,31.9642637974866,24.6179215246749,27.8537803443565,35.9934361903086,29.3393328608953,35.3685867767861
"VT",26.8643679966202,30.1958763273785,30.5798290090076,30.9024266739734,36.2218658558647,30.5822325849898,33.151181261126,29.9819493635285,33.9162517070234,24.427049006221,32.6203691456026,35.3227730981399,29.9895877979431,35.2838122963344,36.8579283953077,34.0195164128424,36.9479323463552,33.1371180513951,34.9531592232086,40.1897084532192
"WA",29.2819652871648,26.7631261469834,35.2746231305815,41.6034744805349,44.7064085090167,42.4984869335296,38.9690056832738,41.9916004002254,27.9102320779463,32.3955107833601,30.3989417091431,35.3881891474105,30.7391374944603,31.3658957060734,40.7397583447854,32.788934228001,30.8923110747477,33.1182278854486,38.0087079379841,37.5431507566199
"WI",22.5380702015044,25.3711223802214,21.6301525121124,23.3487114713524,23.5273832282144,20.520789882529,23.1485648176473,23.6293613357186,24.7234463665803,25.2657250059633,24.8028659640825,19.6893688379161,24.5474236942039,20.3378269625538,21.658544002684,24.1171929736423,23.7488688928014,21.3032422511903,27.2248468009869,24.4698590314176
"WV",28.176807310407,31.0226363328864,34.6761604990373,30.0576480388664,40.3010047878968,28.4197508516133,31.4092661387576,27.0544560413384,29.7847419878302,28.6190431861121,34.2529297480133,41.7226295862145,37.681195185535,29.2702477029999,30.2786438822449,30.233770242868,31.5950385895956,32.5725062619133,29.04257501591,40.9464951279845
"WY",13.0570017052643,16.1187230713943,13.032293899167,18.218420328904,16.798024151826,16.2813010927844,16.7435136426113,14.8726102843473,13.1824550865621,10.8907629815656,11.5200938288961,13.8660050330566,13.382610705609,15.3209260736207,12.1601992315607,13.5788755584003,14.7930738888766,14.9288804988396,15.4164512214607,17.3233572704956
